,Unnamed: 0,filepath,size(byte),traditional(us),dadi-5M(us),dadi-10M(us),dadi-100M(us)
637,637,/usr/lib/x86_64-linux-gnu/libnghttp2.so.14.20.1,178640,532.16,17803.5,8918.0,1536.642857142857
638,638,/var/lib/dpkg/info/liblz4-1:amd64.shlibs,29,0.28,21.833333333333332,9.166666666666666,1.957142857142857
639,639,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Sc/Hang.pl,657,2.08,79.83333333333333,40.0,7.1571428571428575
640,640,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/InPC/TopAndL2.pl,532,1.76,62.833333333333336,32.16666666666667,5.8428571428571425
641,641,/etc/ssl/certs/5e98733a.0,0,6.9799999999999995,251.5,124.83333333333333,21.5
642,642,/var/lib/dpkg/info/gpgv.list,280,1.0,39.5,19.5,3.8714285714285714
643,643,/var/lib/dpkg/info/debconf.list,6867,20.6,700.5,348.8333333333333,60.128571428571426
644,644,/usr/lib/x86_64-linux-gnu/gconv/ISO_2033.so,18544,55.29,1868.1666666666667,935.1666666666666,160.0142857142857
645,645,/usr/lib/x86_64-linux-gnu/libtasn1.so.6.6.0,83968,249.85999999999999,45437.5,18704.833333333332,816.1
646,646,/var/lib/dpkg/info/libbsd0:amd64.md5sums,287,1.1,47.5,22.333333333333332,4.414285714285715
647,647,/etc/ssl/certs/6b99d060.0,0,5.04,174.83333333333334,85.33333333333333,15.32857142857143
648,648,/etc/ssl/certs/4f316efb.0,0,6.409999999999999,230.5,114.0,19.728571428571428
649,649,/usr/lib/x86_64-linux-gnu/libbrotlienc.so.1.0.9,587848,1747.1499999999999,95966.83333333333,43900.5,5146.5
650,650,/var/lib/dpkg/info/libc-bin.triggers,440,1.61,70.16666666666667,34.666666666666664,6.328571428571428
651,651,/usr/share/keyrings/debian-archive-buster-security-automatic.gpg,8141,24.400000000000002,829.5,410.8333333333333,71.21428571428571
652,652,/usr/lib/x86_64-linux-gnu/gconv/CP770.so,18544,55.47,1865.1666666666667,931.0,161.3
653,653,/var/lib/dpkg/info/fontconfig-config.md5sums,3466,10.54,361.5,178.33333333333334,31.214285714285715
654,654,/etc/ssl/certs/QuoVadis_Root_CA_2.pem,0,6.17,209.16666666666666,105.0,18.414285714285715
655,655,/etc/ssl/certs/Starfield_Services_Root_Certificate_Authority_-_G2.pem,0,4.51,164.16666666666666,82.16666666666667,14.557142857142857
656,656,/etc/ssl/certs/Baltimore_CyberTrust_Root.pem,0,3.96,145.16666666666666,72.33333333333333,12.614285714285714
657,657,/usr/lib/x86_64-linux-gnu/libpng16.so.16,231344,688.08,23134.833333333332,11578.833333333334,1985.5857142857142
658,658,/var/lib/dpkg/info/dash.prerm,567,1.8800000000000001,74.16666666666667,36.666666666666664,6.785714285714286
659,659,/var/lib/dpkg/info/libgcc-s1:amd64.shlibs,21,0.22,12.833333333333334,6.0,1.4714285714285715
660,660,/sbin/mkfs.ext3,141792,424.72,14168.166666666666,7072.833333333333,1218.557142857143
661,661,/var/lib/dpkg/info/libjbig0:amd64.list,297,1.1600000000000001,43.166666666666664,25.0,4.5
662,662,/etc/ssl/certs/a3418fda.0,0,2.49,94.16666666666667,46.333333333333336,8.12857142857143
663,663,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Scx/Tirh.pl,557,1.8,68.83333333333333,33.333333333333336,6.214285714285714
664,664,/usr/share/ca-certificates/mozilla/GDCA_TrustAUTH_R5_ROOT.crt,1980,6.09,209.5,105.33333333333333,18.414285714285715
665,665,/etc/ssl/certs/68dd7389.0,0,6.33,227.16666666666666,112.66666666666667,19.84285714285714
666,666,/usr/share/ca-certificates/mozilla/SwissSign_Gold_CA_-_G2.crt,2045,6.26,207.83333333333334,104.66666666666667,18.271428571428572
667,667,/usr/share/ca-certificates/mozilla/TWCA_Global_Root_CA.crt,1883,5.68,195.5,99.5,17.642857142857142
668,668,/usr/share/ca-certificates/mozilla/TrustCor_RootCert_CA-1.crt,1513,4.699999999999999,163.5,79.33333333333333,14.128571428571428
669,669,/lib/systemd/system/apt-daily-upgrade.service,389,1.33,52.166666666666664,24.333333333333332,4.957142857142857
670,670,/usr/share/pam/common-session.md5sums,174,0.6699999999999999,28.166666666666668,14.0,2.8714285714285714
671,671,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Age/V31.pl,979,3.0700000000000003,108.16666666666667,55.0,9.7
672,672,/var/lib/dpkg/info/ca-certificates.md5sums,14644,43.68,1475.5,737.8333333333334,127.38571428571429
673,673,/var/lib/dpkg/info/librtmp1:amd64.list,297,1.05,40.5,20.5,4.071428571428571
674,674,/etc/ssl/certs/930ac5d2.0,0,6.26,215.83333333333334,109.66666666666667,19.071428571428573
675,675,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Lb/SA.pl,857,2.83,97.5,48.5,8.585714285714285
676,676,/etc/ssl/certs/DigiCert_Global_Root_G3.pem,0,2.67,101.16666666666667,50.0,9.128571428571428
677,677,/etc/ssl/certs/c01cdfa2.0,0,5.25,175.16666666666666,87.5,15.32857142857143
678,678,/var/lib/dpkg/info/libgcrypt20:amd64.shlibs,83,0.4,19.833333333333332,11.5,1.9857142857142858
679,679,/etc/ssl/certs/COMODO_ECC_Certification_Authority.pem,0,3.0700000000000003,109.83333333333333,57.833333333333336,10.071428571428571
680,680,/usr/share/perl5/Debconf/DbDriver/Stack.pm,5256,16.09,539.1666666666666,268.8333333333333,46.75714285714286
681,681,/usr/lib/x86_64-linux-gnu/gconv/IBM1156.so,18544,55.75,1863.5,930.6666666666666,161.3
682,682,/usr/lib/x86_64-linux-gnu/gconv/IBM274.so,18544,55.27,1865.5,939.8333333333334,160.95714285714286
683,683,/usr/lib/x86_64-linux-gnu/gconv/ISO-2022-JP.so,51344,152.85,5149.833333333333,2570.0,442.27142857142854
684,684,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Sc/Geor.pl,597,2.1,72.5,36.166666666666664,6.585714285714285
685,685,/var/lib/systemd/deb-systemd-helper-enabled/timers.target.wants/apt-daily-upgrade.timer,0,0.16,4.5,2.333333333333333,0.7571428571428571
