,image,tag,size,conv_size,conv_1,conv_2,conv_4,conv_8,conv_16
86,ruby,latest,338.1,519.3,20.703,25.027,38.26,64.729,93.641
87,pypy,latest,341.1,541,23.059,25.15,40.198,63.723,94.944
88,node,latest,351.6,559,23.011,27.773,40.196,74.678,107.914
89,neo4j,latest,356.6,434,16.072,18.016,25.884,61.877,80.481
90,lightstreamer,latest,366.3,490.9,19.309,24.658,33.785,44.3,108.852
91,gradle,latest,403.3,531.6,19.782,25.91,37.042,58.762,104.833
92,maven,latest,408.2,547.9,20.93,26.17,35.269,57.601,93.198
93,convertigo,latest,419.7,556.8,20.487,24.221,25.939,56.449,136.357
94,gcc,latest,428.5,683,28.152,32.388,40.293,78.435,109.076
95,flink,latest,439.1,510.8,21.892,30.344,44.279,71.767,154.498
96,rust,latest,446.1,719.3,30.749,41.653,50.334,79.23,128.725
97,geonetwork,latest,461.8,554.2,24.926,30.071,42.066,82.714,154.474
98,haskell,latest,515,994.3,44.281,51.728,72.743,88.617,139.562
99,swift,latest,671.9,1124,55.134,62.768,88.194,99.546,159.807
100,xwiki,latest,791.7,1024,52.105,61.892,81.298,92.769,144.273
