,old,registry_with
ai,0.46143655120455984,0.7594250576775372
edge,0.39661143185297426,0.7642472331088076
component,0.7062903365727201,0.8611465316211805
serverless,0.508746551581573,0.7428547824059779
video,0.5124307157617976,0.7774720104488542
